80000043-0000-ea00-b63f-84710c7967bb|2016-11-28 12:20:47.1615|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000045-0000-ea00-b63f-84710c7967bb|2016-11-28 12:20:50.1960|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=1b2e7fc5-b86b-456a-898b-312dd4c4651a&unitsInStock=20&_=1480328448113
80000046-0000-ea00-b63f-84710c7967bb|2016-11-28 12:20:52.3204|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
8000024d-0001-ff00-b63f-84710c7967bb|2016-11-28 12:23:06.2435|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000024d-0001-ff00-b63f-84710c7967bb|2016-11-28 12:23:11.0004|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000024f-0001-ff00-b63f-84710c7967bb|2016-11-28 12:23:13.6106|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=f09290ab-db85-4f99-8791-0b9730ab3215&unitsInStock=20&_=1480328591939
80000250-0001-ff00-b63f-84710c7967bb|2016-11-28 12:23:15.5975|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
800000b8-0001-f600-b63f-84710c7967bb|2016-11-28 13:56:23.8374|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000b8-0001-f600-b63f-84710c7967bb|2016-11-28 13:56:28.3028|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000df-0001-ee00-b63f-84710c7967bb|2016-11-28 13:57:03.6045|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000df-0001-ee00-b63f-84710c7967bb|2016-11-28 13:57:08.1334|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000e1-0001-ee00-b63f-84710c7967bb|2016-11-28 13:57:11.8385|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
800000e1-0001-ee00-b63f-84710c7967bb|2016-11-28 13:57:12.0843|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
800000e3-0001-ee00-b63f-84710c7967bb|2016-11-28 13:57:20.3310|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
800000e4-0001-ee00-b63f-84710c7967bb|2016-11-28 13:57:20.4847|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800000e4-0001-ee00-b63f-84710c7967bb|2016-11-28 13:57:20.7920|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800000e6-0001-ee00-b63f-84710c7967bb|2016-11-28 13:57:28.4424|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game8_Game8
800000e6-0001-ee00-b63f-84710c7967bb|2016-11-28 13:57:28.7755|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game8_Game8
800000e8-0001-ee00-b63f-84710c7967bb|2016-11-28 13:57:34.2645|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
8000008c-0003-e700-b63f-84710c7967bb|2016-11-28 14:01:49.4290|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000008c-0003-e700-b63f-84710c7967bb|2016-11-28 14:01:54.3976|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000008e-0003-e700-b63f-84710c7967bb|2016-11-28 14:01:58.2814|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game3
8000008e-0003-e700-b63f-84710c7967bb|2016-11-28 14:01:58.8011|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game3
80000090-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:01.9080|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
80000091-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:02.0121|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000091-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:02.3289|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000093-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:04.6731|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game3
80000093-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:04.9475|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game3
80000095-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:10.2764|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
80000096-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:10.3394|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000096-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:10.6224|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000098-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:13.1870|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000098-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:13.4859|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000009a-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:15.8450|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game3
8000009a-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:16.1212|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game3
8000009c-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:20.4788|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
8000009d-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:20.5299|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000009d-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:20.8444|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000009f-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:24.9677|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game3
8000009f-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:25.2439|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game3
800000a1-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:28.1578|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
800000a2-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:28.2191|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800000a2-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:28.5041|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800000a4-0003-e700-b63f-84710c7967bb|2016-11-28 14:02:59.3055|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=84b82946-d69c-4ae5-826e-1685e229c278&unitsInStock=10&_=1480334548615
800000a5-0003-e700-b63f-84710c7967bb|2016-11-28 14:03:00.7709|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
80000394-0000-ec00-b63f-84710c7967bb|2016-11-28 14:07:15.8508|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000394-0000-ec00-b63f-84710c7967bb|2016-11-28 14:07:22.6206|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000396-0000-ec00-b63f-84710c7967bb|2016-11-28 14:07:41.3112|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
80000396-0000-ec00-b63f-84710c7967bb|2016-11-28 14:07:41.5515|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
80000398-0000-ec00-b63f-84710c7967bb|2016-11-28 14:07:50.1476|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
80000399-0000-ec00-b63f-84710c7967bb|2016-11-28 14:07:50.2947|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000399-0000-ec00-b63f-84710c7967bb|2016-11-28 14:07:50.6107|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000039b-0000-ec00-b63f-84710c7967bb|2016-11-28 14:08:07.9606|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
8000039b-0000-ec00-b63f-84710c7967bb|2016-11-28 14:08:08.0241|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
8000039d-0000-ec00-b63f-84710c7967bb|2016-11-28 14:08:21.9402|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
8000039e-0000-ec00-b63f-84710c7967bb|2016-11-28 14:08:22.0113|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000039e-0000-ec00-b63f-84710c7967bb|2016-11-28 14:08:22.3186|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800003a0-0000-ec00-b63f-84710c7967bb|2016-11-28 14:08:39.7072|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
800003a0-0000-ec00-b63f-84710c7967bb|2016-11-28 14:08:39.7842|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
800003a2-0000-ec00-b63f-84710c7967bb|2016-11-28 14:08:50.6803|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
800003a2-0000-ec00-b63f-84710c7967bb|2016-11-28 14:08:50.7738|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
