800001e4-0003-ed00-b63f-84710c7967bb|2016-11-30 12:56:31.2437|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=100
800001e6-0003-ed00-b63f-84710c7967bb|2016-11-30 12:57:11.9990|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=100
800001e6-0003-ed00-b63f-84710c7967bb|2016-11-30 12:57:18.0809|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=100
800001e6-0003-ed00-b63f-84710c7967bb|2016-11-30 12:57:18.1070|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=100
80000098-0003-ec00-b63f-84710c7967bb|2016-11-30 12:58:21.1842|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000099b-0001-e900-b63f-84710c7967bb|2016-11-30 12:58:21.1842|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000099b-0001-e900-b63f-84710c7967bb|2016-11-30 12:58:26.4828|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000099b-0001-e900-b63f-84710c7967bb|2016-11-30 12:58:27.1874|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000098-0003-ec00-b63f-84710c7967bb|2016-11-30 12:58:28.0519|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000098-0003-ec00-b63f-84710c7967bb|2016-11-30 12:58:28.0889|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000009a-0003-ec00-b63f-84710c7967bb|2016-11-30 12:59:21.6367|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2017-09-27&DateTo=
8000009a-0003-ec00-b63f-84710c7967bb|2016-11-30 12:59:24.2222|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2017-09-27&DateTo=
8000009a-0003-ec00-b63f-84710c7967bb|2016-11-30 12:59:24.2253|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2017-09-27&DateTo=
8000009c-0003-ec00-b63f-84710c7967bb|2016-11-30 12:59:27.8247|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2017-09-27&DateTo=&PageSize=0
8000029c-0002-f400-b63f-84710c7967bb|2016-11-30 12:59:29.4472|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2017-09-27&DateTo=&PageSize=0
8000009c-0003-ec00-b63f-84710c7967bb|2016-11-30 12:59:30.4656|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2017-09-27&DateTo=&PageSize=0
8000009c-0003-ec00-b63f-84710c7967bb|2016-11-30 12:59:30.4656|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2017-09-27&DateTo=&PageSize=0
8000029c-0002-f400-b63f-84710c7967bb|2016-11-30 12:59:32.0866|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=2017-09-27&DateTo=&PageSize=0
