800001ba-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:27.4367|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&SelectedPublishersName=GamesCorporation
800001ba-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:27.4756|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&SelectedPublishersName=GamesCorporation
800001bc-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:35.7894|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&SelectedGenresName=Action
800001bc-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:35.8094|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&SelectedGenresName=Action
800001bc-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:35.8652|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&SelectedGenresName=Action
800001be-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:46.7624|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&SelectedGenresName=Action&SelectedGenresName=TBS
800001be-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:46.7939|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&SelectedGenresName=Action&SelectedGenresName=TBS
800001be-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:46.8351|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&SelectedGenresName=Action&SelectedGenresName=TBS
800001cd-0002-f400-b63f-84710c7967bb|2016-11-23 10:28:49.1928|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001cd-0002-f400-b63f-84710c7967bb|2016-11-23 10:28:52.7293|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001cd-0002-f400-b63f-84710c7967bb|2016-11-23 10:28:53.3177|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001cf-0002-f400-b63f-84710c7967bb|2016-11-23 10:28:59.7164|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedPublishersName=GamesCorporation
