80000294-0001-f700-b63f-84710c7967bb|2016-11-25 17:19:31.2498|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000296-0001-f700-b63f-84710c7967bb|2016-11-25 17:19:38.2802|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000296-0001-f700-b63f-84710c7967bb|2016-11-25 17:19:38.5918|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000298-0001-f700-b63f-84710c7967bb|2016-11-25 17:19:40.4849|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000298-0001-f700-b63f-84710c7967bb|2016-11-25 17:19:40.8144|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800001c3-0002-ea00-b63f-84710c7967bb|2016-11-25 17:22:23.4346|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001c3-0002-ea00-b63f-84710c7967bb|2016-11-25 17:22:28.1637|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001c5-0002-ea00-b63f-84710c7967bb|2016-11-25 17:22:33.2097|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
800001c5-0002-ea00-b63f-84710c7967bb|2016-11-25 17:22:33.4725|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
800001c7-0002-ea00-b63f-84710c7967bb|2016-11-25 17:22:36.5647|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=New%20Orleans%20Cajun%20Delights
800001c7-0002-ea00-b63f-84710c7967bb|2016-11-25 17:22:36.5688|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=New%20Orleans%20Cajun%20Delights
8000007f-0001-fe00-b63f-84710c7967bb|2016-11-25 17:24:50.0324|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000007f-0001-fe00-b63f-84710c7967bb|2016-11-25 17:24:54.9864|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000081-0001-fe00-b63f-84710c7967bb|2016-11-25 17:24:59.3672|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000081-0001-fe00-b63f-84710c7967bb|2016-11-25 17:24:59.6120|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000083-0001-fe00-b63f-84710c7967bb|2016-11-25 17:25:03.0368|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
80000083-0001-fe00-b63f-84710c7967bb|2016-11-25 17:25:03.0668|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
80000085-0001-fe00-b63f-84710c7967bb|2016-11-25 17:25:06.1065|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000085-0001-fe00-b63f-84710c7967bb|2016-11-25 17:25:06.1135|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000097-0002-eb00-b63f-84710c7967bb|2016-11-25 17:25:48.3033|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000097-0002-eb00-b63f-84710c7967bb|2016-11-25 17:25:52.9646|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000099-0002-eb00-b63f-84710c7967bb|2016-11-25 17:25:56.7658|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000099-0002-eb00-b63f-84710c7967bb|2016-11-25 17:25:57.0255|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
8000009b-0002-eb00-b63f-84710c7967bb|2016-11-25 17:25:59.7635|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
8000009b-0002-eb00-b63f-84710c7967bb|2016-11-25 17:25:59.7845|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
80000662-0001-f100-b63f-84710c7967bb|2016-11-25 17:26:52.8462|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000662-0001-f100-b63f-84710c7967bb|2016-11-25 17:26:58.0801|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000664-0001-f100-b63f-84710c7967bb|2016-11-25 17:27:01.4829|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000664-0001-f100-b63f-84710c7967bb|2016-11-25 17:27:01.7343|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000666-0001-f100-b63f-84710c7967bb|2016-11-25 17:27:05.0370|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
80000666-0001-f100-b63f-84710c7967bb|2016-11-25 17:27:05.0696|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
80000026-0002-fb00-b63f-84710c7967bb|2016-11-25 17:30:02.1569|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000026-0002-fb00-b63f-84710c7967bb|2016-11-25 17:30:07.0894|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000028-0002-fb00-b63f-84710c7967bb|2016-11-25 17:30:11.0985|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=New%20Orleans%20Cajun%20Delights
80000028-0002-fb00-b63f-84710c7967bb|2016-11-25 17:30:11.3682|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=New%20Orleans%20Cajun%20Delights
8000002a-0002-fb00-b63f-84710c7967bb|2016-11-25 17:30:14.8675|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
8000002a-0002-fb00-b63f-84710c7967bb|2016-11-25 17:30:14.9120|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
8000002c-0002-fb00-b63f-84710c7967bb|2016-11-25 17:30:18.4843|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=New%20Orleans%20Cajun%20Delights
8000002c-0002-fb00-b63f-84710c7967bb|2016-11-25 17:30:18.4893|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=New%20Orleans%20Cajun%20Delights
800002b6-0001-f700-b63f-84710c7967bb|2016-11-25 17:31:03.3450|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800002b6-0001-f700-b63f-84710c7967bb|2016-11-25 17:31:08.3440|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800002b8-0001-f700-b63f-84710c7967bb|2016-11-25 17:31:14.2336|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
800002b8-0001-f700-b63f-84710c7967bb|2016-11-25 17:31:14.5073|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
800002ba-0001-f700-b63f-84710c7967bb|2016-11-25 17:31:17.7390|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
800002ba-0001-f700-b63f-84710c7967bb|2016-11-25 17:31:17.7560|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
8000027e-0000-ed00-b63f-84710c7967bb|2016-11-25 17:33:22.6217|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000027e-0000-ed00-b63f-84710c7967bb|2016-11-25 17:33:27.7335|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000280-0000-ed00-b63f-84710c7967bb|2016-11-25 17:33:33.3318|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000280-0000-ed00-b63f-84710c7967bb|2016-11-25 17:33:33.5900|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
8000064b-0001-ec00-b63f-84710c7967bb|2016-11-25 17:39:24.1376|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000064b-0001-ec00-b63f-84710c7967bb|2016-11-25 17:39:31.9706|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000064d-0001-ec00-b63f-84710c7967bb|2016-11-25 17:39:36.5640|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
8000064d-0001-ec00-b63f-84710c7967bb|2016-11-25 17:39:36.8177|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
8000064f-0001-ec00-b63f-84710c7967bb|2016-11-25 17:39:42.4623|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
8000064f-0001-ec00-b63f-84710c7967bb|2016-11-25 17:39:42.4938|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
